SeriesTicker,SeriesName,EventTicker,MarketTicker,Time,EventEndTime,VolumeInDollar,OpenInterest,YesProb,NoProb,EventResult,RulesPrimary,KalshiURL,Tags
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11STANBC,KXNCAAMBGAME-26FEB11STANBC-BC,2026-02-11T23:00:00+00:00,2026-02-12T04:50:22Z,533469.00,980,0.42,0.58,no,"If Boston College wins the Stanford at Boston College men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11stanbc,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11UABTLSA,KXNCAAMBGAME-26FEB11UABTLSA-UAB,2026-02-11T21:00:00+00:00,2026-02-12T03:05:58Z,246442.00,2085,0.18,0.82,yes,"If UAB wins the UAB at Tulsa men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11uabtlsa,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11UABTLSA,KXNCAAMBGAME-26FEB11UABTLSA-TLSA,2026-02-11T21:00:00+00:00,2026-02-12T03:05:58Z,255021.00,10728,0.82,0.18,no,"If Tulsa wins the UAB at Tulsa men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11uabtlsa,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11MICHNW,KXNCAAMBGAME-26FEB11MICHNW-NW,2026-02-11T22:00:00+00:00,2026-02-12T04:21:10Z,3878270.00,25459,0.08,0.92,no,"If Northwestern wins the Michigan at Northwestern men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11michnw,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11MICHNW,KXNCAAMBGAME-26FEB11MICHNW-MICH,2026-02-11T22:00:00+00:00,2026-02-12T04:21:10Z,4207515.00,128051,0.93,0.07,yes,"If Michigan wins the Michigan at Northwestern men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11michnw,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11COLOTTU,KXNCAAMBGAME-26FEB11COLOTTU-TTU,2026-02-11T21:00:00+00:00,2026-02-12T03:25:21Z,57346.00,14260,0.91,0.09,yes,"If Texas Tech wins the Colorado at Texas Tech men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11colottu,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11COLOTTU,KXNCAAMBGAME-26FEB11COLOTTU-COLO,2026-02-11T21:00:00+00:00,2026-02-12T03:25:21Z,91312.00,20226,0.1,0.9,no,"If Colorado wins the Colorado at Texas Tech men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11colottu,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11FAURICE,KXNCAAMBGAME-26FEB11FAURICE-RICE,2026-02-11T22:00:00+00:00,2026-02-12T04:25:09Z,272507.00,1510,0.38,0.62,yes,"If Rice wins the Florida Atlantic at Rice men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11faurice,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11FAURICE,KXNCAAMBGAME-26FEB11FAURICE-FAU,2026-02-11T22:00:00+00:00,2026-02-12T04:25:09Z,464889.00,15499,0.64,0.36,no,"If Florida Atlantic wins the Florida Atlantic at Rice men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11faurice,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11APPGASO,KXNCAAMBGAME-26FEB11APPGASO-GASO,2026-02-11T22:00:00+00:00,2026-02-12T03:31:16Z,49929.00,1367,0.47,0.53,no,"If Georgia Southern wins the Appalachian St. at Georgia Southern men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11appgaso,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11APPGASO,KXNCAAMBGAME-26FEB11APPGASO-APP,2026-02-11T22:00:00+00:00,2026-02-12T03:31:16Z,85912.00,4624,0.54,0.46,yes,"If Appalachian St. wins the Appalachian St. at Georgia Southern men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11appgaso,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11TROYTXST,KXNCAAMBGAME-26FEB11TROYTXST-TXST,2026-02-11T21:00:00+00:00,2026-02-12T03:21:15Z,97436.00,1361,0.34,0.66,yes,"If Texas St. wins the Troy at Texas St. men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11troytxst,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11TROYTXST,KXNCAAMBGAME-26FEB11TROYTXST-TROY,2026-02-11T21:00:00+00:00,2026-02-12T03:21:15Z,115681.00,1254,0.67,0.33,no,"If Troy wins the Troy at Texas St. men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11troytxst,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11ULMARST,KXNCAAMBGAME-26FEB11ULMARST-ULM,2026-02-11T21:00:00+00:00,2026-02-12T03:15:43Z,64121.00,17500,0.06,0.94,no,"If Louisiana-Monroe wins the Louisiana-Monroe at Arkansas St. men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11ulmarst,Basketball
KXNCAAMBGAME,Men's College Basketball Men's Game,KXNCAAMBGAME-26FEB11ULMARST,KXNCAAMBGAME-26FEB11ULMARST-ARST,2026-02-11T21:00:00+00:00,2026-02-12T03:15:43Z,31420.00,10123,0.96,0.04,yes,"If Arkansas St. wins the Louisiana-Monroe at Arkansas St. men's college basketball game originally scheduled for Feb 11, 2026, then the market resolves to Yes.",https://kalshi.com/markets/kxncaambgame/mens-college-basketball-mens-game/kxncaambgame-26feb11ulmarst,Basketball
